Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
1,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09747747747747748,0.023908457592668117,0.01378730662760147,0.09747747747747748,inf
2,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.07287162162162161,0.016301162581650385,0.009220285107742879,0.07287162162162161,inf
3,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.07556511056511057,0.018381481360608493,0.01068938681254406,0.07556511056511057,inf
4,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.01865091824769244,0.010641052228448574,0.09011773136773137,inf
5,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.04101556101556102,0.011126233949763361,0.006568746675698548,0.04101556101556102,inf
6,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,inf
7,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.1860687960687961,0.08113980627589498,0.05607142857142857,0.1860687960687961,inf
8,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
9,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.01865091824769244,0.010641052228448574,0.09011773136773137,inf
10,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.01865091824769244,0.010641052228448574,0.09011773136773137,inf
11,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
12,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
13,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
14,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.01865091824769244,0.010641052228448574,0.09011773136773137,inf
15,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
16,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.01865091824769244,0.010641052228448574,0.09011773136773137,inf
17,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.21300061425061428,0.13688986517356425,0.1322460126210126,0.21300061425061428,inf
18,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09011773136773137,0.018650918247692442,0.010641052228448574,0.09011773136773137,inf
19,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.09678439803439803,0.029776366276366272,0.043982048397030946,0.09678439803439803,inf
20,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.1290950040950041,0.06495682162348829,0.08139884012674692,0.1290950040950041,inf
21,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.1715724815724816,0.09968768606268606,0.11540952669213538,0.1715724815724816,inf
22,5,15,512,100,5,16,0.0001,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,15,0.0,0.18606879606879606,0.10104646999489504,0.0826190491987456,0.18606879606879606,inf
