Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
1,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.07556511056511057,0.018381481360608496,0.01068938681254406,0.07556511056511057,7.002033376693726
2,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.07556511056511057,0.018381481360608493,0.01068938681254406,0.07556511056511057,6.995963493982951
3,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.17794430794430793,0.12009321009321008,0.10474330390997058,0.17794430794430793,6.862097613016765
4,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.3289936527436528,0.22386652591198045,0.1931921509762419,0.3289936527436528,6.487638235092163
5,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.42951678951678957,0.3839265203936257,0.46324534337318435,0.42951678951678957,5.928723033269246
6,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.5799529074529074,0.5390972426527239,0.5641002183189683,0.5799529074529074,5.33406597773234
7,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.6790141277641277,0.6411386958318777,0.6911439101439101,0.6790141277641277,4.82172973950704
8,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.7472225634725634,0.7177443427443426,0.7703728728728729,0.7472225634725634,4.335637267430624
9,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.829798321048321,0.8249095251083887,0.8785483515171016,0.829798321048321,4.075989667574565
10,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8828972153972152,0.8788044219976039,0.916168684918685,0.8828972153972152,3.753328148523967
11,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8597757985257986,0.8541842919399738,0.8872203209703209,0.8597757985257986,3.5652930418650315
12,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8755333742833743,0.8739862017418835,0.8998949436449436,0.8755333742833743,3.5726998170216873
13,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8871887796887797,0.875871147064329,0.8976949514449515,0.8871887796887797,3.31716783841451
14,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8962796887796888,0.888905305098487,0.9140314827814828,0.8962796887796888,3.1179900487263996
15,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8744615069615069,0.8640598442530261,0.8888082075582074,0.8744615069615069,3.2798318386077883
16,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.912495904995905,0.9004818756750573,0.9155456592956593,0.912495904995905,2.8896717071533202
17,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9016850941850942,0.8873093035024853,0.9004916442416443,0.9016850941850942,3.119030976295471
18,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.8578101965601965,0.8502185628549265,0.8837261916949417,0.8578101965601965,3.422405997912089
19,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9247573710073709,0.9129105847287665,0.9266656185406186,0.9247573710073709,3.4910662571589155
20,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9058292383292382,0.8989449359562997,0.9212952400452401,0.9058292383292382,3.283714326222738
21,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9064352989352988,0.8924635486567306,0.9065044752544752,0.9064352989352988,3.1033298174540205
22,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9051740376740376,0.8936871906985543,0.9083043270543272,0.9051740376740376,3.298932806650798
23,5,15,512,100,5,16,0.01,0.1,10,1.0,fedprox,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,30,0.0,0.9057800982800982,0.894535344228526,0.9147924222924223,0.9057800982800982,3.3488714297612505
