Round,Clients,Latent Dim,Hidden Dim,Rounds,Epochs,Batch Size,Learning Rate,Gamma,Step,fraction-fit,Strategy,Recon Weight,Class Weight,KLD Weight,Beta VAE,Proximal Mu,Eta Adagrad,Eta Adam,Beta 1,Beta 2,Patience,Min Delta,Accuracy,F1 Score,Precision,Recall,Train Loss
1,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.07697852452596
2,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.125176111857097
3,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.13399863243103
4,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.117517709732056
5,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.121611913045247
6,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.004788117288117288,0.0025238326139546963,0.048636704886704886,7.124757130940755
7,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.131378253300984
8,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.1325342655181885
9,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.152366638183594
10,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.048636704886704886,0.0047881172881172876,0.0025238326139546963,0.048636704886704886,7.1319334506988525
11,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.05873771498771499,0.018324036706389647,0.022764114217872663,0.05873771498771499,7.156379620234172
12,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.067746723996724,0.03188618184748215,0.04981819532600782,0.067746723996724,7.1550927956899
13,3,10,512,100,5,32,0.01,0.1,10,1.0,fedadagrad,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,30,0.0,0.0778477340977341,0.038692210043884685,0.04985892520544738,0.0778477340977341,7.147175629933675
